plot,bush,x,y
49,049-2,484.5,228.1
49,049-3,480.9,216.9
49,049-4,469.1,216.9
49,049-5,465.5,228.1
50,050-1,425,235
50,050-2,434.5,228.1
50,050-3,430.9,216.9
50,050-4,419.1,216.9
50,050-5,415.5,228.1
51,051-1,375,235
51,051-2,384.5,228.1
51,051-3,380.9,216.9
51,051-4,369.1,216.9
51,051-5,365.5,228.1
52,052-1,325,235
52,052-2,334.5,228.1
52,052-3,330.9,216.9
52,052-4,319.1,216.9
52,052-5,315.5,228.1
53,053-1,275,235
53,053-2,284.5,228.1
53,053-3,280.9,216.9
53,053-4,269.1,216.9
53,053-5,265.5,228.1
54,054-1,225,235
54,054-2,234.5,228.1
54,054-3,230.9,216.9
54,054-4,219.1,216.9
54,054-5,215.5,228.1
55,055-1,175,235
55,055-2,184.5,228.1
55,055-3,180.9,216.9
55,055-4,169.1,216.9
55,055-5,165.5,228.1
56,056-1,125,235
56,056-2,134.5,228.1
56,056-3,130.9,216.9
56,056-4,119.1,216.9
56,056-5,115.5,228.1
57,057-1,75,235
57,057-2,84.5,228.1
57,057-3,80.9,216.9
57,057-4,69.1,216.9
57,057-5,65.5,228.1
58,058-1,25,235
58,058-2,34.5,228.1
58,058-3,30.9,216.9
58,058-4,19.1,216.9
58,058-5,15.5,228.1
59,059-1,25,285
59,059-2,34.5,278.1
59,059-3,30.9,266.9
59,059-4,19.1,266.9
59,059-5,15.5,278.1
60,060-1,75,285
60,060-2,84.5,278.1
60,060-3,80.9,266.9
60,060-4,69.1,266.9
60,060-5,65.5,278.1
61,061-1,125,285
61,061-2,134.5,278.1
61,061-3,130.9,266.9
61,061-4,119.1,266.9
61,061-5,115.5,278.1
62,062-1,175,285
62,062-2,184.5,278.1
62,062-3,180.9,266.9
62,062-4,169.1,266.9
62,062-5,165.5,278.1
63,063-1,225,285
63,063-2,234.5,278.1
63,063-3,230.9,266.9
63,063-4,219.1,266.9
63,063-5,215.5,278.1
64,064-1,275,285
64,064-2,284.5,278.1
64,064-3,280.9,266.9
64,064-4,269.1,266.9
64,064-5,265.5,278.1
65,065-1,325,285
65,065-2,334.5,278.1
65,065-3,330.9,266.9
65,065-4,319.1,266.9
65,065-5,315.5,278.1
66,066-1,375,285
66,066-2,384.5,278.1
66,066-3,380.9,266.9
66,066-4,369.1,266.9
66,066-5,365.5,278.1
67,067-1,425,285
67,067-2,434.5,278.1
67,067-3,430.9,266.9
67,067-4,419.1,266.9
67,067-5,415.5,278.1
68,068-1,475,285
68,068-2,484.5,278.1
68,068-3,480.9,266.9
68,068-4,469.1,266.9
68,068-5,465.5,278.1
69,069-1,525,285
69,069-2,534.5,278.1
69,069-3,530.9,266.9
69,069-4,519.1,266.9
69,069-5,515.5,278.1
70,070-1,575,285
70,070-2,584.5,278.1
70,070-3,580.9,266.9
70,070-4,569.1,266.9
70,070-5,565.5,278.1
71,071-1,625,285
71,071-2,634.5,278.1
71,071-3,630.9,266.9
71,071-4,619.1,266.9
71,071-5,615.5,278.1
72,072-1,675,285
72,072-2,684.5,278.1
72,072-3,680.9,266.9
72,072-4,669.1,266.9
72,072-5,665.5,278.1
73,073-1,675,335
73,073-2,684.5,328.1
73,073-3,680.9,316.9
73,073-4,669.1,316.9
73,073-5,665.5,328.1
74,074-1,625,335
74,074-2,634.5,328.1
74,074-3,630.9,316.9
74,074-4,619.1,316.9
74,074-5,615.5,328.1
75,075-1,575,335
75,075-2,584.5,328.1
75,075-3,580.9,316.9
75,075-4,569.1,316.9
75,075-5,565.5,328.1
76,076-1,525,335
76,076-2,534.5,328.1
76,076-3,530.9,316.9
76,076-4,519.1,316.9
76,076-5,515.5,328.1
77,077-1,475,335
77,077-2,484.5,328.1
77,077-3,480.9,316.9
77,077-4,469.1,316.9
77,077-5,465.5,328.1
78,078-1,425,335
78,078-2,434.5,328.1
78,078-3,430.9,316.9
78,078-4,419.1,316.9
78,078-5,415.5,328.1
79,079-1,375,335
79,079-2,384.5,328.1
79,079-3,380.9,316.9
79,079-4,369.1,316.9
79,079-5,365.5,328.1
80,080-1,325,335
80,080-2,334.5,328.1
80,080-3,330.9,316.9
80,080-4,319.1,316.9
80,080-5,315.5,328.1
81,081-1,275,335
81,081-2,284.5,328.1
81,081-3,280.9,316.9
81,081-4,269.1,316.9
81,081-5,265.5,328.1
82,082-1,225,335
82,082-2,234.5,328.1
82,082-3,230.9,316.9
82,082-4,219.1,316.9
82,082-5,215.5,328.1
83,083-1,175,335
83,083-2,184.5,328.1
83,083-3,180.9,316.9
83,083-4,169.1,316.9
83,083-5,165.5,328.1
84,084-1,125,335
84,084-2,134.5,328.1
84,084-3,130.9,316.9
84,084-4,119.1,316.9
84,084-5,115.5,328.1
85,085-1,75,335
85,085-2,84.5,328.1
85,085-3,80.9,316.9
85,085-4,69.1,316.9
85,085-5,65.5,328.1
86,086-1,25,335
86,086-2,34.5,328.1
86,086-3,30.9,316.9
86,086-4,19.1,316.9
86,086-5,15.5,328.1
87,087-1,25,385
87,087-2,34.5,378.1
87,087-3,30.9,366.9
87,087-4,19.1,366.9
87,087-5,15.5,378.1
88,088-1,75,385
88,088-2,84.5,378.1
88,088-3,80.9,366.9
88,088-4,69.1,366.9
88,088-5,65.5,378.1
89,089-1,125,385
89,089-2,134.5,378.1
89,089-3,130.9,366.9
89,089-4,119.1,366.9
89,089-5,115.5,378.1
90,090-1,175,385
90,090-2,184.5,378.1
90,090-3,180.9,366.9
90,090-4,169.1,366.9
90,090-5,165.5,378.1
91,091-1,225,385
91,091-2,234.5,378.1
91,091-3,230.9,366.9
91,091-4,219.1,366.9
91,091-5,215.5,378.1
92,092-1,275,385
92,092-2,284.5,378.1
92,092-3,280.9,366.9
92,092-4,269.1,366.9
92,092-5,265.5,378.1
93,093-1,325,385
93,093-2,334.5,378.1
93,093-3,330.9,366.9
93,093-4,319.1,366.9
93,093-5,315.5,378.1
94,094-1,375,385
94,094-2,384.5,378.1
94,094-3,380.9,366.9
94,094-4,369.1,366.9
94,094-5,365.5,378.1
95,095-1,425,385
95,095-2,434.5,378.1
95,095-3,430.9,366.9
95,095-4,419.1,366.9
95,095-5,415.5,378.1
96,096-1,475,385
96,096-2,484.5,378.1
96,096-3,480.9,366.9
96,096-4,469.1,366.9
96,096-5,465.5,378.1
97,097-1,525,385
97,097-2,534.5,378.1
97,097-3,530.9,366.9
97,097-4,519.1,366.9
97,097-5,515.5,378.1
98,098-1,575,385
98,098-2,584.5,378.1
98,098-3,580.9,366.9
98,098-4,569.1,366.9
98,098-5,565.5,378.1
99,099-1,625,385
99,099-2,634.5,378.1
99,099-3,630.9,366.9
99,099-4,619.1,366.9
99,099-5,615.5,378.1
100,100-1,675,385
100,100-2,684.5,378.1
100,100-3,680.9,366.9
100,100-4,669.1,366.9
100,100-5,665.5,378.1
101,101-1,675,435
101,101-2,684.5,428.1
101,101-3,680.9,416.9
101,101-4,669.1,416.9
101,101-5,665.5,428.1
102,102-1,625,435
102,102-2,634.5,428.1
102,102-3,630.9,416.9
102,102-4,619.1,416.9
102,102-5,615.5,428.1
103,103-1,575,435
103,103-2,584.5,428.1
103,103-3,580.9,416.9
103,103-4,569.1,416.9
103,103-5,565.5,428.1
104,104-1,525,435
104,104-2,534.5,428.1
104,104-3,530.9,416.9
104,104-4,519.1,416.9
104,104-5,515.5,428.1
105,105-1,475,435
105,105-2,484.5,428.1
105,105-3,480.9,416.9
105,105-4,469.1,416.9
105,105-5,465.5,428.1
106,106-1,425,435
106,106-2,434.5,428.1
106,106-3,430.9,416.9
106,106-4,419.1,416.9
106,106-5,415.5,428.1
107,107-1,375,435
107,107-2,384.5,428.1
107,107-3,380.9,416.9
107,107-4,369.1,416.9
107,107-5,365.5,428.1
108,108-1,325,435
108,108-2,334.5,428.1
108,108-3,330.9,416.9
108,108-4,319.1,416.9
108,108-5,315.5,428.1
109,109-1,275,435
109,109-2,284.5,428.1
109,109-3,280.9,416.9
109,109-4,269.1,416.9
109,109-5,265.5,428.1
110,110-1,225,435
110,110-2,234.5,428.1
110,110-3,230.9,416.9
110,110-4,219.1,416.9
110,110-5,215.5,428.1
111,111-1,175,435
111,111-2,184.5,428.1
111,111-3,180.9,416.9
111,111-4,169.1,416.9
111,111-5,165.5,428.1
112,112-1,125,435
112,112-2,134.5,428.1
112,112-3,130.9,416.9
112,112-4,119.1,416.9
112,112-5,115.5,428.1
113,113-1,75,435
113,113-2,84.5,428.1
113,113-3,80.9,416.9
113,113-4,69.1,416.9
113,113-5,65.5,428.1
114,114-1,25,435
114,114-2,34.5,428.1
114,114-3,30.9,416.9
114,114-4,19.1,416.9
114,114-5,15.5,428.1
115,115-1,675,485
115,115-2,684.5,478.1
115,115-3,680.9,466.9
115,115-4,669.1,466.9
115,115-5,665.5,478.1
116,116-1,625,485
116,116-2,634.5,478.1
116,116-3,630.9,466.9
116,116-4,619.1,466.9
116,116-5,615.5,478.1
117,117-1,575,485
117,117-2,584.5,478.1
117,117-3,580.9,466.9
117,117-4,569.1,466.9
117,117-5,565.5,478.1
118,118-1,525,485
118,118-2,534.5,478.1
118,118-3,530.9,466.9
118,118-4,519.1,466.9
118,118-5,515.5,478.1
119,119-1,475,485
119,119-2,484.5,478.1
119,119-3,480.9,466.9
119,119-4,469.1,466.9
119,119-5,465.5,478.1
120,120-1,425,485
120,120-2,434.5,478.1
120,120-3,430.9,466.9
120,120-4,419.1,466.9
120,120-5,415.5,478.1
121,121-1,375,485
121,121-2,384.5,478.1
121,121-3,380.9,466.9
121,121-4,369.1,466.9
121,121-5,365.5,478.1
122,122-1,325,485
122,122-2,334.5,478.1
122,122-3,330.9,466.9
