quad,x,y
8,1,1
7,2,1
6,3,1
5,4,1
4,5,1
3,6,1
2,7,1
1,8,1
9,1,2
10,2,2
11,3,2
12,4,2
13,5,2
14,6,2
15,7,2
16,8,2
30,1,3
29,2,3
28,3,3
27,4,3
26,5,3
25,6,3
24,7,3
23,8,3
22,9,3
21,10,3
20,11,3
19,12,3
18,13,3
17,14,3
31,1,4
32,2,4
33,3,4
34,4,4
35,5,4
36,6,4
37,7,4
38,8,4
39,9,4
40,10,4
41,11,4
42,12,4
43,13,4
44,14,4
58,1,5
57,2,5
56,3,5
55,4,5
54,5,5
53,6,5
52,7,5
51,8,5
50,9,5
49,10,5
48,11,5
47,12,5
46,13,5
45,14,5
59,1,6
60,2,6
61,3,6
62,4,6
63,5,6
64,6,6
65,7,6
66,8,6
67,9,6
68,10,6
69,11,6
70,12,6
71,13,6
72,14,6
86,1,7
85,2,7
84,3,7
83,4,7
82,5,7
81,6,7
80,7,7
79,8,7
78,9,7
77,10,7
76,11,7
75,12,7
74,13,7
73,14,7
87,1,8
88,2,8
89,3,8
90,4,8
91,5,8
92,6,8
93,7,8
94,8,8
95,9,8
96,10,8
97,11,8
98,12,8
99,13,8
100,14,8
114,1,9
113,2,9
112,3,9
111,4,9
110,5,9
109,6,9
108,7,9
107,8,9
106,9,9
105,10,9
104,11,9
103,12,9
102,13,9
101,14,9
128,1,10
127,2,10
126,3,10
125,4,10
124,5,10
123,6,10
122,7,10
121,8,10
120,9,10
119,10,10
118,11,10
117,12,10
116,13,10
115,14,10
